[2021-03-02 02:18:33] main.ERROR: Error: Application is not installed yet.  [] []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:33] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:34] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-03-02 02:26:35] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/magento/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
